Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-A1_1_12125.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-B1_1_12126.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-C1_1_12127.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-D1_1_12128.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-E1_1_12129.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-F1_1_12130.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-G1_1_12131.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-H1_1_12135.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-A5_1_12136.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-B5_1_12137.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-C5_1_12138.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-D5_1_12139.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-E5_1_12140.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-F5_1_12141.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-G5_1_12142.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-H5_1_12143.d
Q99383	HRP1_YEAST	HRP1	Nuclear polyadenylated RNA-binding protein 4	7	7	81383.1	106644	92948.2	94193.4	77821.9	104322	103117	92724.6	45391.6	49681.1	54847.3	45386	50374.4	48327.9	49844	55843.9
Q99394	TRS33_YEAST	TRS33	Trafficking protein particle complex subunit 33	1	1	10732.7	9106.02	8618.86	7512.87	7656.34	10019.5	12236.2	10515.9	4626.3	4532.8	4565.7	4681.22	4552.74	5268.71		3711.88
Q99417	MYCBP_HUMAN	MYCBP	c-Myc-binding protein	10	10	240604	263440	269152	249179	269386	251862	245459	251734	266846	260231	253658	251405	270872	271919	264746	262083
Q99426	TBCB_HUMAN	TBCB	Tubulin-folding cofactor B	12	12	108427	103058	108127	98191.8	104177	104860	105764	103729	100861	102154	97019.2	90493.7	99395.2	95201	103350	101893
Q99436	PSB7_HUMAN	PSMB7	Proteasome subunit beta type-7	11	11	448602	408354	405894	428102	398678	394179	418808	364725	383923	377932	389049	382106	383125	394343	381164	378753
Q99439	CNN2_HUMAN	CNN2	Calponin-2	12	11	278207	251037	245623	257572	244542	246752	263682	227766	242118	234292	267748	260626	251660	249670	239530	242707
Q99442	SEC62_HUMAN	SEC62	Translocation protein SEC62	8	8	16300.8	14815.5	17534.8	16861.2	15927.2	17435.8	16868.6	15140.3	18438	19230.3	17416.2	19338.1	19334.1	18898.8	18750.8	17320.7
Q99447	PCY2_HUMAN	PCYT2	Ethanolamine-phosphate cytidylyltransferase	13	13	97152.9	94320.3	93057.8	86736.7	87614.6	91715.6	86961	82306.2	85101.6	81645.9	79546.4	81647.3	84335.9	80465.8	82426.1	83868.6
Q99459	CDC5L_HUMAN	CDC5L	Cell division cycle 5-like protein	36	36	208749	224015	216467	219069	214669	214369	214551	207282	211971	213949	209480	212019	210138	211729	212304	215694
Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1	44	43	610921	597834	627586	627283	615417	615788	630871	646471	645770	638785	676720	692501	668921	660015	662752	676349
Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5	9	9	200995	190695	178631	195990	169518	178925	188920	172410	188343	186744	202405	199298	194204	191297	189667	197913
Q99496	RING2_HUMAN	RNF2	E3 ubiquitin-protein ligase RING2	13	11	51603.3	48020	50802.8	51528.1	54266.8	53249.1	51319.4	53320.7	51556.1	49690.2	50422.7	52348.4	52674.1	52076.8	55891.8	54650.7
Q99497	PARK7_HUMAN	PARK7	Parkinson disease protein 7	15	15	643971	642646	648103	694824	642562	668482	694565	652472	651261	657470	684791	692030	663538	671691	678478	655379
Q99504	EYA3_HUMAN	EYA3	Protein phosphatase EYA3	4	4	11988.9	11569.2	13035.9	13330.5	12045.5	12638.8	12494.8	15335.7	13798.8	14853.3	13976.4	14258.2	13421.2	14279.5	13485.9	13273.7
Q99519	NEUR1_HUMAN	NEU1	Sialidase-1	3	3	12632.4	13746.8	14004.2		10842.7	15194.5	12821.2	13086.7	9795.33	12351.8	13163.1	13475.4	12252.4	11221.7	11344.8	16146.5
Q99523	SORT_HUMAN	SORT1	Sortilin	13	13	43104.4	41612.1	39467.4	41880.8	41562.2	42675	46370.9	44657.6	43166.6	41803	45582.4	46229.4	43604.2	42268	44976	45326.8
Q99536	VAT1_HUMAN	VAT1	NADPH-dependent quinone oxidoreductase VAT1	14	14	308089	309127	318367	310796	320524	301706	316029	307428	335048	336934	320468	319490	320825	316364	327999	332486
Q99541	PLIN2_HUMAN	PLIN2	Perilipin-2	23	23	103433	105533	110891	112080	110993	110775	112003	110036	106190	104723	113048	112130	110954	110961	110870	111045
Q99543	DNJC2_HUMAN	DNAJC2	DnaJ homolog subfamily C member 2	29	29	502991	516426	487222	491616	482155	517642	519476	500525	480425	472839	467998	479429	473404	487449	473834	482147
Q99547	MPH6_HUMAN	MPHOSPH6	M-phase phosphoprotein 6	8	8	44631.6	41985.5	42410.5	42106	43871.6	43742	45106.7	42222.4	41003.3	44286.1	44541.6	43902.4	48374.8	45720.7	41907.6	44478.6
Q99549	MPP8_HUMAN	MPHOSPH8	M-phase phosphoprotein 8	11	11	20838.8	21367.6	20863.3	23134.9	23141.5	23413.7	22584.5	22447.1	24621.3	23134.4	23083.3	24894.1	23517.2	24497	25969.2	24675.9
Q99567	NUP88_HUMAN	NUP88	Nuclear pore complex protein Nup88	18	18	212279	214177	224931	211448	216930	212528	214295	212524	207517	200661	206157	210831	210777	208724	219080	214587
Q99569	PKP4_HUMAN	PKP4	Plakophilin-4	15	14	14638.5	15327.4	14453.2	15044	15073.6	15834.8	14321.5	15180.9	13058.6	14537.4	12655.2	15008.2	14605.2	13588.9	14465.3	12494.7
Q99570	PI3R4_HUMAN	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4	18	18	21729	24266.1	22676.6	23017.9	22501.9	25506.4	23347.8	23417	22176.7	20649.5	21463.9	19413.2	21316.3	20259.4	20890.2	20722.4
Q99575	POP1_HUMAN	POP1	Ribonucleases P/MRP protein subunit POP1	18	18	50640.6	51885.8	49860	48781.5	46564.2	51925.4	51415.8	50800.6	49535.4	48612	47318.4	49098.1	50900.4	49303.3	47782	51507.8
Q99576	T22D3_HUMAN	TSC22D3	TSC22 domain family protein 3	1	1		3660.39	4004.47	5003.11		4122.51	5490.11	2855.36	5707.16	2733.28	3160.17	5622.06	3281.08	3756.94		
Q99584	S10AD_HUMAN	S100A13	Protein S100-A13	4	4	106370	112968	108280	99407.4	109917	108643	106677	112912	102518	112517	105138	104279	111554	106517	108323	109386
Q99590	SCAFB_HUMAN	SCAF11	Protein SCAF11	21	21	104558	115125	111619	109064	115104	111853	107374	109632	106068	103734	104528	112974	111881	109757	111600	110288
Q99595	TI17A_HUMAN	TIMM17A	Mitochondrial import inner membrane translocase subunit Tim17-A	2	2	22587.9	25162.1	23904.5	25527.8	21906.3	25063.1	17825.1	21068.7	22497.9	28569.5	23179.3	24631.5	24450.7	23187.8	27135.4	22374.6
Q99598	TSNAX_HUMAN	TSNAX	Translin-associated protein X	14	14	88208.1	83943	87376.8	83002.9	84408.7	82534.4	86108.8	75021	86046.8	85433.1	87332	86907.6	86391.3	85454.6	87430.7	87034.4
Q99611	SPS2_HUMAN	SEPHS2	Selenide, water dikinase 2	4	4	28755.7	24374.8	24611	34128.6	25397.6	24841.2	24653.7	28491	28849.6	31433.2	37123.8	33529.4	33632.5	29355.1	31968	29794.8
Q99613	EIF3C_HUMAN	EIF3C	Eukaryotic translation initiation factor 3 subunit C	31	1	339455	329677	334243	317350	323872	336589	323306	338744	329453	321757	321329	319188	323613	328713	330330	324984
Q99614	TTC1_HUMAN	TTC1	Tetratricopeptide repeat protein 1	15	15	267570	272131	276458	262796	264420	271668	263822	251824	247901	248495	241729	251421	260543	255595	252607	243973
Q99615	DNJC7_HUMAN	DNAJC7	DnaJ homolog subfamily C member 7	30	30	144831	137991	146484	142382	142724	141645	138836	137458	138400	134664	135394	138954	140212	133193	138237	138145
Q99618	CDCA3_HUMAN	CDCA3	Cell division cycle-associated protein 3	4	4	68609.7	66778.5	68888	65440	69490.3	71324.8	63078.4	70799.6	64512.9	66156.8	53261	66808.1	62453.1	65215.5	71552.8	53057.9
Q99622	C10_HUMAN	C12orf57	Protein C10	4	4	41863.2	40966.2	42624.4	40288.9	40265.8	43797.7	45183.1	40682.5	41161.2	41251	37148.5	41779.6	38561.1	41732.9	37243.3	42740.1
Q99623	PHB2_HUMAN	PHB2	Prohibitin-2	21	21	761238	757424	756966	746288	746450	741479	737445	750581	751149	740034	755654	759119	732552	733760	723268	730670
Q99627	CSN8_HUMAN	COPS8	COP9 signalosome complex subunit 8	6	6	42164.1	36532.6	35332.3	45089	35877.3	41024.3	48054.8	45084.1	53316.9	48249.4	53940	51985.1	48306.5	49696.8	44434.1	49820.7
Q99633	PRP18_HUMAN	PRPF18	Pre-mRNA-splicing factor 18	5	5	23485.2	20999.2	17808.8	20516.9	27093.2	22358.5	16639.6	20297.2	19870.8	19737.6	15628.8	19294.3	18538	20480.1	20797	19975.2
Q99638	RAD9A_HUMAN	RAD9A	Cell cycle checkpoint control protein RAD9A	1	1		6155.64	6420.8			5373.32	7550.53	6952.39		3498.47	6077.03			5936.15	5437.42	4629.09
Q99640	PMYT1_HUMAN	PKMYT1	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	2	2		15933.4	14020.1	16663.9	20942.2	23285.7	24079.2	23113.6	15555.6	15511.3		16961.7	14669.1	16465	18502.5	17184.9
Q99643	C560_HUMAN	SDHC	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	2	2	22751.6	28873.9	21662.4	24981.4	32139.9	25487.2	25070.3	26921.1	31335.1	25667.5	23849	29447.1	25992.3	26066.6	22785.1	28585.2
Q99653	CHP1_HUMAN	CHP1	Calcineurin B homologous protein 1	6	6	23808.8	23040.5	24101.6	22225.3	27084.7	22047.7	23437.9	22726.3	23895.2	21741.5	25614	21136.6	22477.2	21213.4	25018.1	21633.1
Q99661	KIF2C_HUMAN	KIF2C	Kinesin-like protein KIF2C	42	37	289191	293772	292387	294973	294269	294494	288072	293459	285442	288719	287803	292038	291553	284094	281752	291072
Q99676	ZN184_HUMAN	ZNF184	Zinc finger protein 184	7	7	9185.04	9604.04	8495.25	10240.4	9599.98	7239.29	7843.57	8064.36	8824.5	8278.31	8311.48	8837.64	8591.23	8330.26	9798.15	8644.87
Q99700	ATX2_HUMAN	ATXN2	Ataxin-2	21	21	164188	159736	164200	166477	166001	158053	159541	159007	158619	170276	163921	167007	169205	163933	170753	174848
Q99704	DOK1_HUMAN	DOK1	Docking protein 1	4	4	15443.1	14713.2	16873.4	13677.9	15165.6	14256.1	14118.8	14197.3	11695.9	15159.5	12863.5	15232.8	12709.9	13846.3	14378.8	13695.3
Q99707	METH_HUMAN	MTR	Methionine synthase	29	29	37846	40000.5	39099.5	39046	38441.3	40953.6	37778.8	40524.3	37661	38950.3	38207.7	40709.1	39455.8	37683.7	37701.3	39139.5
Q99714	HCD2_HUMAN	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2	16	16	351255	336434	340081	348201	342507	342293	352404	348609	342613	338914	351396	339204	342132	333165	333437	344480
Q99717	SMAD5_HUMAN	SMAD5	SMAD family member 5	8	4	24244.2	25909.1	25101	26355.6	29100.8	28643	25518.7	27430.8	29168.5	28298.6	26801.9	27054.8	25923.9	27134.2	26629.6	28152
Q99719	SEPT5_HUMAN	SEPTIN5	Septin-5	12	12	56272.6	55951.8	58201.9	50709.2	58443	58071.5	54587.4	59623.1	61217.7	58178	58677.7	59759.3	57776.4	61168.2	57692.6	58419.6
Q99728	BARD1_HUMAN	BARD1	BRCA1-associated RING domain protein 1	3	3	7583.45		7769.15	9725.63	4769.74	6567.97	9215.12	9477.66	7648.47	7787.78	6952.41	8137.95	10291.8	7803.66	9258.72	10178.9
Q99729	ROAA_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	10	10	1.10572e+06	879655	800027	920633	767941	866066	987085	836469	978954	957340	981813	1.0339e+06	922203	937429	950911	942717
Q99733	NP1L4_HUMAN	NAP1L4	Nucleosome assembly protein 1-like 4	8	8	355269	366049	370968	349375	355722	344208	353583	343661	353781	347874	342461	349028	348124	339914	351039	347684
Q99735	MGST2_HUMAN	MGST2	Microsomal glutathione S-transferase 2	2	2	30174.6	41926.7	29856	26446.1	44710.7	30149.6	36297.2	40800.7	36969.1	38508.1	30872.7	27628.1	25964.5	38305	31652.1	35400.8
Q99741	CDC6_HUMAN	CDC6	Cell division control protein 6 homolog	1	1	8437.75	12093.9	16889.1	10834.1	16051.1	15262.9	10704.6	14674.5	13061.6	14836	18061.8	12005.8	17757.7	15083.5		14812.8
Q99747	SNAG_HUMAN	NAPG	Gamma-soluble NSF attachment protein	17	17	111100	109419	108580	110875	111198	114566	110687	109491	115255	114563	115876	118096	119982	112960	114941	118391
Q99757	THIOM_HUMAN	TXN2	Thioredoxin, mitochondrial	1	1	206865	198200	164330	177853	202561	193698	183433	188720	164748	166593	145827	155357	160751	158432	142970	158733
Q99766	ATP5S_HUMAN	DMAC2L	ATP synthase subunit s, mitochondrial	1	1	25863.9	34039.2	24447.6	23818.4	28718.3	25658.4	16716.9	16254.8	15765.8		13361.6	13269.8	16160.8		16265.4	
Q99767	APBA2_HUMAN	APBA2	Amyloid-beta A4 precursor protein-binding family A member 2	2	2	1902.18	2345.05	1049.67		1792.96	2952.29		3328.73	2131.46	1672.24	2478.91	1484.28	3537.91	2213.73	2262.65	1407.26
Q99797	MIPEP_HUMAN	MIPEP	Mitochondrial intermediate peptidase	8	8	19999.7	22947.6	21337.1	20158.7	20240.6	18906.6	20706.4	21111.9	22772	21742	19691.4	20704.9	21845.6	20657.8	19303.7	21014.2
Q99798	ACON_HUMAN	ACO2	Aconitate hydratase, mitochondrial	39	39	206572	212542	210459	208091	211173	211344	205594	214318	206092	205105	199730	201138	204680	203309	204279	204723
Q99805	TM9S2_HUMAN	TM9SF2	Transmembrane 9 superfamily member 2	7	7	42833	52056.9	51747.8	49346.7	47239.2	52104.8	49498.1	49770.6	51047.2	52499	52881	48279.9	51913.4	48403	49403.9	52062.2
Q99807	COQ7_HUMAN	COQ7	NADPH-dependent 3-demethoxyubiquinone 3-hydroxylase, mitochondrial	4	4	9371.49	8026.67	8916.9	8105.25	7848.32	7429.96	7685.32	7476.34	8113.08	6809.35	8136.06	6615.4	8127.76	6863.87	6962.31	6984.41
Q99808	S29A1_HUMAN	SLC29A1	Equilibrative nucleoside transporter 1	3	3	20049.1	21096	24132.3	24861.8	23010.8	21668.9	18506	28433.9	21843.5	23045	23493.1	21963.4	22668.9	23526.5	24411.4	23399.8
Q99816	TS101_HUMAN	TSG101	Tumor susceptibility gene 101 protein	15	15	74761.7	75762.5	76480.9	77230.5	74090.9	74386.5	77681.6	77023	75718.2	75359.4	75040.8	79161.5	72875.7	73611.8	74720.3	74081.4
Q99828	CIB1_HUMAN	CIB1	Calcium and integrin-binding protein 1	5	5	12295.5	12981.9	9943.81	13526.8	12576	11082.5	9736.66	11046.8	10607.2	11528.1	11075.5	9908.62	10121.5	8797.18	12375.7	11156.6
Q99829	CPNE1_HUMAN	CPNE1	Copine-1	8	8	45955.8	43745.2	42495.1	41991.9	44213.1	41327.3	41941.6	47582.7	43802.8	46823.7	41909.3	40664.4	39938.1	39875.2	41916.1	44829.2
Q99832	TCPH_HUMAN	CCT7	T-complex protein 1 subunit eta	43	43	959394	927015	966264	952595	940128	902025	937005	937947	950064	950625	955193	969645	944014	931315	941897	922938
Q99836	MYD88_HUMAN	MYD88	Myeloid differentiation primary response protein MyD88	3	3	12982.4	13815.4	13372.4	13795.3	15334.1	14159.6	13288.5	12370.3	14756.3	13792.4	10665.7	12119.3	12738.8	12080.6	11456.5	12847.7
Q99848	EBP2_HUMAN	EBNA1BP2	Probable rRNA-processing protein EBP2	28	28	275265	265186	269037	261412	270918	253167	251288	264173	263474	253660	251359	252809	252364	244003	240760	256840
Q99856	ARI3A_HUMAN	ARID3A	AT-rich interactive domain-containing protein 3A	19	17	96820.5	90908.5	91894.3	99433	97822.4	96710.5	97426.6	94846.2	99348.1	98296.5	105661	105199	100907	105820	98267.9	102852
Q99871	HAUS7_HUMAN	HAUS7	HAUS augmin-like complex subunit 7	3	3	4265.91	6049.95	5621.89	5635.05	7112.44	7288.98	4344.85	6303.45	6399.89	7148.5	7082.57	4932.15	6211.94	6058.91	6646.45	8273.12
Q99873	ANM1_HUMAN	PRMT1	Protein arginine N-methyltransferase 1	22	19	292553	275700	278685	287679	274956	293745	293982	285447	283760	284634	324535	323298	297579	293164	299304	298196
Q99880	H2B1L_HUMAN	H2BC13	Histone H2B type 1-L	3	0	6.81287e+06	6.91186e+06	6.75803e+06	6.75236e+06	6.98478e+06	7.03821e+06	6.733e+06	7.33282e+06	6.88916e+06	6.95676e+06	6.19127e+06	7.07693e+06	6.93387e+06	7.38578e+06	7.10601e+06	7.04614e+06
Q99933	BAG1_HUMAN	BAG1	BAG family molecular chaperone regulator 1	8	8	64485.1	71173.5	65784.6	66478.3	68619.3	73487.3	64282.3	72078.6	59702.2	61263.9	59556.3	62849.4	64850.3	61502.9	59037.8	58487.2
Q99943	PLCA_HUMAN	AGPAT1	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	2	2							48443	34994.8	47006.7	51470.7	51259.3	52158.4	45100.6	53378.6	42067.9	45665.7
Q99952	PTN18_HUMAN	PTPN18	Tyrosine-protein phosphatase non-receptor type 18	1	1	50193.2	53979.9	38072	35991.2	44679.9	51460.7	53143.6	42641.4	45601.8	25803.6	42859.6	32467	36970.3	31592	33580.5	45276.7
Q99956	DUS9_HUMAN	DUSP9	Dual specificity protein phosphatase 9	6	6	25289.4	27105.9	24151.1	23745	24780.8	23645.6	26869.1	22702.7	26025.3	24311.2	23254.2	25391.4	27193.2	26280.1	25836	26554.4
Q99961	SH3G1_HUMAN	SH3GL1	Endophilin-A2	14	9	180214	184339	185516	175734	183871	180435	182670	172503	164802	159010	162193	160304	167420	166414	156412	163661
Q99963	SH3G3_HUMAN	SH3GL3	Endophilin-A3	5	5	46037.1	30912.2	28155.2	30578.4	34661.7	29126.8	31576.6	38253.1	30472.2	36321.8	33962.4	29976.8	35315.2	32501.1	28890.4	38675.8
Q99986	VRK1_HUMAN	VRK1	Serine/threonine-protein kinase VRK1	15	15	152865	141790	155138	155490	153266	150932	148203	150668	155883	160730	167418	166357	161602	165440	159657	165105
Q99996	AKAP9_HUMAN	AKAP9	A-kinase anchor protein 9	56	56	104105	106692	116713	104697	106932	103388	109244	111924	105782	103689	104123	108189	108656	107287	103402	105653
Q9BPW8	NIPS1_HUMAN	NIPSNAP1	Protein NipSnap homolog 1	7	7	37316.5	27719.2	30061	34239.9	27340.1	27246	33873.2	28235.6	34204	33912.6	38435.9	39339.5	32948.5	30741.2	31077.1	32427.2
Q9BPX3	CND3_HUMAN	NCAPG	Condensin complex subunit 3	22	22	66333.1	69415.8	69586.9	70520.9	68216.2	71010.1	67859.7	69965.9	70030.3	70359.9	68212.4	75358.6	71324	70760.2	69657.7	74406.2
Q9BPX5	ARP5L_HUMAN	ARPC5L	Actin-related protein 2/3 complex subunit 5-like protein	11	10	191934	196646	192286	196132	197309	177989	184954	202132	198989	207617	205002	206643	196025	190804	197996	199451
Q9BPX6	MICU1_HUMAN	MICU1	Calcium uptake protein 1, mitochondrial	2	2	23536.7	25034.3	17264.1	20514.1	23051.3	16875.3	17318	24982	18699.8	18127.6	22425.6	19581.6	24665.4	24625.5	17355.5	17820.6
Q9BPY3	F118B_HUMAN	FAM118B	Protein FAM118B	7	7	10903.8	13201.3	12849.2	13736	15761.2	14668.7	13224.5	16226.4	14347.8	13979.1	13589	14850.5	13727	15084.8	14341.4	14410.7
Q9BQ04	RBM4B_HUMAN	RBM4B	RNA-binding protein 4B	1	1	4473.05	8708.39	7525.47	6964.51	5609.12	7999.87	7047.24	7154.02	5515.76	5532.12	5416.25	6821.35	6542.41	6208.62	4041.74	6646.89
Q9BQ15	SOSB1_HUMAN	NABP2	SOSS complex subunit B1	1	1	5824.42	7415.6	7003.94	5246.04				7303.06	6689.92	5783.24		6135.75	7754.28		5793.76	
Q9BQ24	ZFY21_HUMAN	ZFYVE21	Zinc finger FYVE domain-containing protein 21	1	1	6925.33	9792.63	11539.9	11216.9	7118.66	12030.6	10203	6403.63	11740	12687.8	11065.8	7336.72	11092.5	11110.5	10693.6	9099.01
Q9BQ39	DDX50_HUMAN	DDX50	ATP-dependent RNA helicase DDX50	28	28	73091.3	74681.3	76568	72770.5	72618.6	73564.4	71858	73115.3	74625.6	75597.9	76298.6	76130.1	75046.1	74464.8	74057.5	76317.7
Q9BQ48	RM34_HUMAN	MRPL34	Large ribosomal subunit protein bL34m	5	5	33845.1	41752.6	36152.9	31889.3	33220.4	31737.9	41590	37676.5	37908.9	35533.1	35316.3	37396.8	37395.2	37366	41247.1	37507.4
Q9BQ52	RNZ2_HUMAN	ELAC2	Zinc phosphodiesterase ELAC protein 2	26	26	60752.1	62088.4	57688.5	64824.3	61558.2	61032.2	65217.3	66067.7	66090.6	65656.1	67973.4	66452.4	62230.2	67697.4	66100.5	65677.3
Q9BQ61	TRIR_HUMAN	TRIR	Telomerase RNA component interacting RNase	4	4	154718	132963	134264	124579	127449	123291	127458	110130	116798	117796	108962	115130	104446	120207	119048	113871
Q9BQ67	GRWD1_HUMAN	GRWD1	Glutamate-rich WD repeat-containing protein 1	12	12	59248.7	50653.6	53769.7	52706.1	52646.5	50023	57196.9	47189.9	52730.8	55991.2	58764.1	60656.5	53624.8	52332.4	52582.8	52144.7
Q9BQ69	MACD1_HUMAN	MACROD1	ADP-ribose glycohydrolase MACROD1	6	6	29545.9	31049.4	30527.7	29713.6	30704.2	27609.2	30222.3	30962.1	32436.3	32070.9	32225.3	30748.8	32163.5	30205.1	26912.9	30664.2
Q9BQ70	TCF25_HUMAN	TCF25	Ribosome quality control complex subunit TCF25	4	4	15239.3	11452.9	14600.5	12296.7	14030.8	14183.6	16049.2	13253.7	14951.9	15571.3	11792.2	12509.4	13515.5	15143.1	14433.3	15026.6
Q9BQ75	CMS1_HUMAN	CMSS1	Protein CMSS1	8	8	94700.5	92790.3	102580	101188	107045	95901.3	103326	95715.5	92974.8	108082	98040.3	100831	96457.7	97920.1	100758	108907
Q9BQ95	ECSIT_HUMAN	ECSIT	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	2	2	18437.3	13126	24585.8	20908.4	19595.9	17965	17190.5	21821.8	25564.4	15321.2	20490.1	20586.3	23517.4	24790	21712.9	23115.4
Q9BQA1	MEP50_HUMAN	WDR77	Methylosome protein WDR77	11	11	179984	170672	174384	173996	174478	175720	170130	157293	167677	170654	179827	185464	179429	179567	177576	175786
Q9BQB6	VKOR1_HUMAN	VKORC1	Vitamin K epoxide reductase complex subunit 1	1	1	21850.5	19056	21845.4	16859.1	23863	23607	19158.7	19702.3	17091.2	11016.1	13870.2	14812.6	19539	11211.4	16035.2	15488.4
Q9BQC3	DPH2_HUMAN	DPH2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	11	11	27344.4	34073.1	30280.4	29679.2	34132.2	35475.4	31324.7	36681.4	35601.5	33587	34713.9	36329.9	33865.8	34721.3	35556.8	31382.1
Q9BQC6	RT63_HUMAN	MRPL57	Large ribosomal subunit protein mL63	1	1	7460.06	6803.06	8099.39	9415	7717.16	6557.59	11228.5		10597.8	9214.87	7411.25	7487.23	7352.9	8131.37	7110.49	5337.65
Q9BQD3	KXDL1_HUMAN	KXD1	KxDL motif-containing protein 1	2	2	4591.6	5085.19	5631.22	5652.47	5051.13	5633.42	4679.7		6107.23	4984.92	9107.71	7623.3	5784.87	7381.25	8220	7363.85
Q9BQE3	TBA1C_HUMAN	TUBA1C	Tubulin alpha-1C chain	14	2	3.7743e+06	3.85851e+06	4.00354e+06	4.10075e+06	3.85099e+06	4.05432e+06	3.99917e+06	3.69115e+06	3.99196e+06	4.02146e+06	4.44872e+06	4.55556e+06	4.18539e+06	4.24982e+06	4.29493e+06	4.35136e+06
Q9BQE4	SELS_HUMAN	SELENOS	Selenoprotein S	3	3	2623.34	2401.59	1917.23	2009.36	3076.14	3326.23	4043.55	3401.43	2893.05	2566.35	2466.28	2614.96	1349.66	3322.65	3299.56	3238.58
Q9BQE5	APOL2_HUMAN	APOL2	Apolipoprotein L2	4	4	19807.1	18276.3	17877	17420.6	19158.5	19372.3	16803.3	20512.6	18968	17587.2	17226.4	17050.7	18324	16768.2	17029.3	18017.9
Q9BQE9	BCL7B_HUMAN	BCL7B	B-cell CLL/lymphoma 7 protein family member B	3	2	21785.1	23954.4	21409.9	24276.7	22391.9	24430.6	24253.4	23518.7	17355.3	23127.8	18427.4	18842.2	20470	19801.1	19430.2	17792.8
Q9BQF6	SENP7_HUMAN	SENP7	Sentrin-specific protease 7	3	3	3950.93	4896.46	3307.73	4544.55	4541.46	4961.26	3884.13	5061.68	3439.65	5822.32	4555.26	5436.01	4164.53	5156.46	5149.89	5837.54
Q9BQG0	MBB1A_HUMAN	MYBBP1A	Myb-binding protein 1A	31	31	80865.2	84002.4	80609.7	80129.6	83263.9	80974.6	83793.5	82251	78493.9	82914.2	75217	83531.4	80569.7	80000.3	76989.5	80966.2
Q9BQG2	NUD12_HUMAN	NUDT12	NAD-capped RNA hydrolase NUDT12	10	10	41555.1	38445.3	40481.2	38208.3	39800.4	40178.7	37843	43600.9	38856.5	41877.7	41081.9	40750.6	42558.4	40104.3	43056.9	41433
Q9BQP7	MGME1_HUMAN	MGME1	Mitochondrial genome maintenance exonuclease 1	10	10	48490.7	52727.3	48793.4	46481.6	51003	54544.8	49706.6	51606.1	50287.4	52714.3	50126.4	47136.2	50869.2	51357.8	51798.2	50541.1
Q9BQQ3	GORS1_HUMAN	GORASP1	Golgi reassembly-stacking protein 1	2	2	34283.8	28571.7	35095.1	31553.6	28191.3	31408.9	32668.3	26076.9	28923.6	36166	35015.7	35550.3	32164.2	32252.3	34108.1	38419.7
